EPISODE,TITLE,grupos_jerar,grupos_kmeans,grupos_dbscan
S18E10,"""DOUBLE OVAL STREAM""",1,1,1
S18E11,"""ENCHANTED FOREST""",6,1,1
S18E12,"""SOUTHWEST SERENITY""",4,2,0
S18E13,"""RIPPLING WATERS""",1,1,1
S19E01,"""SNOWFALL MAGIC""",5,3,1
S19E02,"""QUIET MOUNTAIN LAKE""",1,5,1
S19E03,"""FINAL EMBERS OF SUNLIGHT""",1,1,1
S19E04,"""SNOWY MORN""",5,3,1
S19E05,"""CAMPER'S HAVEN""",3,5,1
S19E06,"""WATERFALL IN THE WOODS""",1,1,1
S19E07,"""COVERED BRIDGE OVAL""",5,3,0
S19E08,"""SCENIC SECLUSION""",1,6,1
S19E09,"""EBB TIDE""",4,2,4
S19E10,"""AFTER THE RAIN""",6,1,1
S19E11,"""WINTER'S ELEGANCE""",5,3,0
S19E12,"""EVENING'S PEACE""",5,3,0
S19E13,"""VALLEY OF TRANQUILITY""",3,6,1
S20E01,"""MYSTIC MOUNTAIN""",3,5,1
S20E02,"""NEW DAY'S DAWN""",6,1,0
S20E03,"""PASTEL WINTER""",2,4,5
S20E04,"""HAZY DAY""",1,1,1
S20E05,"""DIVINE ELEGANCE""",3,5,1
S20E06,"""CLIFFSIDE""",4,2,4
S20E07,"""AUTUMN FANTASY""",3,6,1
S20E08,"""THE OLD OAK TREE""",1,1,1
S20E09,"""WINTER'S PARADISE""",2,4,5
S20E10,"""DAYS GONE BY""",6,1,0
S20E11,"""CHANGE OF SEASONS""",1,6,1
S20E12,"""HIDDEN DELIGHT""",1,1,0
S20E13,"""DOUBLE TAKE""",2,4,1
S21E01,"""VALLEY VIEW""",3,5,1
S21E02,"""TRANQUIL DAWN""",1,1,0
S21E03,"""ROYAL MAJESTY""",3,6,1
S21E04,"""SERENITY""",1,1,1
S21E05,"""CABIN AT TRAIL'S END""",6,1,0
S21E06,"""MOUNTAIN RHAPSODY""",2,4,1
S21E07,"""WILDERNESS CABIN""",6,3,6
S21E08,"""BY THE SEA""",4,2,0
S21E09,"""INDIAN SUMMER""",1,6,1
S21E10,"""BLUE WINTER""",2,4,5
S21E11,"""DESERT GLOW""",4,2,0
S21E12,"""LONE MOUNTAIN""",3,5,1
S21E13,"""FLORIDA'S GLORY""",4,2,4
S22E01,"""AUTUMN IMAGES""",1,1,1
S22E02,"""HINT OF SPRINGTIME""",3,6,1
S22E03,"""AROUND THE BEND""",1,6,1
S22E04,"""COUNTRYSIDE OVAL""",1,1,0
S22E05,"""RUSSET WINTER""",5,3,0
S22E06,"""PURPLE HAZE""",1,1,1
S22E07,"""DIMENSIONS""",3,6,0
S22E08,"""DEEP WILDERNESS HOME""",1,1,1
S22E09,"""HAVEN IN THE VALLEY""",2,4,0
S22E10,"""WINTERTIME BLUES""",2,4,5
S22E11,"""PASTEL SEASCAPE""",4,2,0
S22E12,"""COUNTRY CREEK""",1,6,1
S22E13,"""SILENT FOREST""",1,6,1
S23E01,"""FROSTY WINTER MORN""",5,3,1
S23E02,"""FOREST EDGE""",6,1,1
S23E03,"""MOUNTAIN RIDGE LAKE""",3,5,1
S23E04,"""REFLECTIONS OF GOLD""",1,1,1
S23E05,"""QUIET COVE""",1,1,0
S23E06,"""RIVER'S PEACE""",1,1,1
S23E07,"""AT DAWN'S LIGHT""",1,1,1
S23E08,"""VALLEY WATERFALL""",1,6,0
S23E09,"""TOWARD DAY'S END""",6,1,0
S23E10,"""FALLS IN THE GLEN""",1,6,1
S23E11,"""FROZEN BEAUTY IN VIGNETTE""",5,3,1
S23E12,"""CRIMSON TIDE""",4,2,4
S23E13,"""WINTER BLISS""",2,4,0
S24E01,"""GRAY MOUNTAIN""",3,6,1
S24E02,"""WAYSIDE POND""",1,1,1
S24E03,"""TETON WINTER""",2,4,0
S24E04,"""LITTLE HOME IN THE MEADOW""",6,1,0
S24E05,"""A PRETTY AUTUMN DAY""",1,6,1
S24E06,"""MIRRORED IMAGES""",3,5,1
S24E07,"""BACK COUNTRY""",6,1,1
S24E08,"""GRACEFUL WATERFALL""",1,1,1
S24E09,"""ICY LAKE""",5,3,0
S24E10,"""ROWBOAT ON THE BEACH""",4,2,0
S24E11,"""PORTRAIT OF WINTER""",2,4,1
S24E12,"""THE FOOTBRIDGE""",1,1,1
S24E13,"""SNOWBOUND CABIN""",5,3,1
S25E01,"""HIDE-A-WAY COVE""",3,5,1
S25E02,"""ENCHANTED FALLS OVAL""",1,1,1
S25E03,"""NOT QUITE SPRING""",2,4,1
S25E04,"""SPLASHES OF AUTUMN""",1,1,1
S25E05,"""SUMMER IN THE MOUNTAIN""",3,5,1
S25E06,"""ORIENTAL FALLS""",1,6,0
