EPISODE,TITLE,grupos_jerar,grupos_kmeans,grupos_dbscan
S10E06,"""AUTUMN WOODS""",0,0,0
S10E07,"""WINTER SOLITUDE""",3,1,0
S10E08,"""GOLDEN SUNSET""",3,2,0
S10E09,"""MOUNTAIN OVAL""",0,0,-1
S10E10,"""OCEAN SUNSET""",2,3,3
S10E11,"""TRIPLE VIEW""",4,0,-1
S10E12,"""WINTER FROST""",4,1,4
S10E13,"""LAKESIDE CABIN""",5,2,-1
S11E01,"""MOUNTAIN STREAM""",0,5,0
S11E02,"""COUNTRY CABIN""",3,1,0
S11E03,"""DAISY DELIGHT""",1,2,-1
S11E04,"""HIDDEN STREAM""",1,4,0
S11E05,"""TOWERING GLACIER""",0,5,-1
S11E06,"""OVAL BARN""",3,1,-1
S11E07,"""LAKESIDE PATH""",0,4,-1
S11E08,"""SUNSET OVAL""",0,0,-1
S11E09,"""WINTER BARN""",3,1,-1
S11E10,"""SUNSET OVER THE WAVES""",2,3,3
S11E11,"""GOLDEN GLOW""",1,1,-1
S11E12,"""ROADSIDE BARN""",5,2,-1
S11E13,"""HAPPY ACCIDENT""",1,4,0
S12E01,"""GOLDEN KNOLL""",5,2,-1
S12E02,"""MOUNTAIN REFLECTIONS""",0,5,-1
S12E03,"""SECLUDED MOUNTAIN""",0,0,0
S12E04,"""BRIGHT AUTUMN TREES""",1,4,0
S12E05,"""BLACK SEASCAPE""",2,3,3
S12E06,"""STEEP MOUNTAINS""",4,0,-1
S12E07,"""QUIET MOUNTAIN RIVER""",0,5,0
S12E08,"""EVENING WATERFALL""",1,5,0
S12E09,"""TROPICAL SEASCAPE""",2,3,3
S12E10,"""MOUNTAIN AT SUNSET""",0,5,0
S12E11,"""SOFT MOUNTAIN GLOW""",0,5,0
S12E12,"""MOUNTAIN IN AN OVAL""",1,5,-1
S12E13,"""WINTER MOUNTAIN""",4,1,4
S13E01,"""ROLLING HILLS""",5,4,0
S13E02,"""FROZEN SOLITUDE""",4,1,1
S13E03,"""MEADOW BROOK""",1,5,-1
S13E04,"""EVENING AT SUNSET""",1,4,-1
S13E05,"""MOUNTAIN VIEW""",1,5,0
S13E06,"""HIDDEN CREEK""",1,2,0
S13E07,"""PEACEFUL HAVEN""",1,5,-1
S13E08,"""MOUNTAIN EXHIBITION""",0,5,0
S13E09,"""EMERALD WATERS""",5,4,0
S13E10,"""MOUNTAIN SUMMIT""",0,5,0
S13E11,"""CABIN HIDEAWAY""",4,1,0
S13E12,"""OVAL ESSENCE""",2,3,-1
S13E13,"""LOST LAKE""",0,0,0
S14E01,"""DISTANT MOUNTAINS""",0,0,0
S14E02,"""MEADOW BROOK SURPRISE""",1,5,0
S14E03,"""MOUNTAIN MOONLIGHT OVAL""",1,5,-1
S14E04,"""SNOWY SOLITUDE""",3,1,-1
S14E05,"""MOUNTAIN RIVER""",0,5,-1
S14E06,"""GRACEFUL MOUNTAINS""",0,5,0
S14E07,"""WINDY WAVES""",2,3,3
S14E08,"""ON A CLEAR DAY""",4,1,4
S14E09,"""RIVERSIDE ESCAPE OVAL""",1,2,-1
S14E10,"""SURPRISING FALLS""",0,0,-1
S14E11,"""SHADOW POND""",5,2,0
S14E12,"""MISTY FOREST OVAL""",1,2,-1
S14E13,"""NATURAL WONDER""",0,0,0
S15E01,"""SPLENDOR OF WINTER""",3,1,-1
S15E02,"""COLORS OF NATURE""",1,2,0
S15E03,"""GRANDPA'S BARN""",5,2,0
S15E04,"""PEACEFUL REFLECTIONS""",2,3,2
S15E05,"""HIDDEN WINTER MOON OVAL""",4,0,-1
S15E06,"""WAVES OF WONDER""",2,3,3
S15E07,"""CABIN BY THE POND""",1,2,5
S15E08,"""FALL STREAM""",1,5,0
S15E09,"""CHRISTMAS EVE SNOW""",4,1,1
S15E10,"""FOREST DAWN OVAL""",5,4,0
S15E11,"""PATHWAY TO AUTUMN""",5,2,0
S15E12,"""DEEP FOREST LAKE""",5,2,0
S15E13,"""PEAKS OF MAJESTY""",0,0,0
S16E01,"""TWO SEASONS""",0,0,0
S16E02,"""NESTLED CABIN""",5,2,0
S16E03,"""WINTERTIME DISCOVERY""",3,1,0
S16E04,"""MOUNTAIN MIRAGE""",1,1,-1
S16E05,"""DOUBLE OVAL FANTASY""",0,0,0
S16E06,"""CONTEMPLATIVE LADY""",2,3,2
S16E07,"""DEEP WOODS""",1,5,0
S16E08,"""HIGH TIDE""",2,3,3
S16E09,"""BARN IN SNOW OVAL""",3,1,-1
S16E10,"""THAT TIME OF YEAR""",5,2,-1
S16E11,"""WATERFALL WONDER""",1,4,0
S16E12,"""MIGHTY MOUNTAIN LAKE""",0,0,-1
